Introduction,Cluster
"Dorothy Dottie Miller Zellner(born 1938) is an American human rights activist, feminist, editor, lecturer, and writer. A veteran of the 1960s civil rights movement, she served as a recruiter for theFreedom Summerproject and was co-editor of Student Voice, the student newsletter of theStudent Nonviolent Coordinating Committee. She is active in the Palestinian solidarity movement.",-1
"The Establishment(Turkish:Yapı), was described byFenerbahçe S.K.PresidentAli Koças an organized system or group that allegedly obstructs the principles of justice, transparency, and impartiality inTurkish football. This term has frequently appeared in debates aboutrefereemistakes in Turkish football, the policies of thefootball associationand the privileging of certain clubs.",-1
Woodsideis a surname. Notable persons with that name include:,-1
"Courtney Guard(néeStubbs, born 26 September 1991) is a retiredAustralian rules footballerwho played forFremantleandWest Coastin theAFL Women's(AFLW). Guard was drafted by Fremantle with their fourth selection and thirty-ninth overall in the2018 AFL Women's draft.[2]She only played one game for Fremantle, in a loss toAdelaidein Darwin in the fourth round of the2019 season. At the end of the 2019 season, Guard was recruited by West Coast for their inaugural season in2020.[3] In May 2022, Guard retired to focus on her career and new role as Head of Sport atPerth College.[1] A school teacher, Guard was previously a 100m hurdler and basketball player.[4]",-1
"The1954 Pacific Tigers football teamrepresented the College of the Pacific (COP)—now known as theUniversity of the Pacific(UOP)—as an independent during the1954 college football season. In their second season under head coachJack Myers, the Tigers compiled a record of 4–5 and were outscored by opponents 118 to 99. The team played home games atPacific Memorial StadiuminStockton, California. [4][5] No College of the Pacific players were selected in the1955 NFL draft.[6][7][8] The following finished their college career in 1954, were not drafted, but played in the NFL.",-1
The Book of Lightsis a 1981 novel byChaim Potokabout a youngrabbiand student ofKabbalahwhose service as a United Statesmilitary chaplainin Korea and Japan after theKorean Warchallenges his thinking about the meaning of faith in a world of light from many sources.,-1
"TheFilBasket Subic Championship, also known as theFilBasket Subic Championship – Cocolifedue to sponsorship reasons, was the inaugural tournament under FilBasket, now known asAsiaBasket. It was also the only tournament held in 2021. The tournament began on October 28, 2021, with the playoffs running from November 16 to 21, 2021. The entire tournament took place at the Subic Bay Gymnasium, located in theSubic Bay Freeport Zone. The tournament was won by AICC Manila after defeating theSan Juan Knights, two games to one, with Hesed Gabo winning Finals MVP honors.[1] Subic 2021 is also the only FilBasket / AsiaBasket tournament that is not under professional status, but that in itself has been disputed before and in the months after the tournament began by theGames and Amusements Board(GAB).[2]",9
"Widnes Saintsare arugby leagueteam based inWidnes,Cheshire. They play in theNorth West Premier Divisionof theRugby League Conference.",-1
Rina Lazarusis a fictional character in a series of mystery novels byFaye Kellerman.,-1
"Patel v. Garland, 596 U.S. 328 (2022), was aUnited States Supreme Courtcase related to the jurisdiction of federal courts over immigration appeals.",-1
"ProfessorSimon Ho Shun-manis the current President ofHang Seng University of Hong Kong. Under his presidency, Hang Seng Management College gained university title as The Hang Seng University of Hong Kong on 30 October 2018, becoming the second private university in Hong Kong.[2] Ho was born in Hong Kong. He attended Buddhist Tai Hung College[3]for his secondary school education. He obtained a BA degree (Management and Psychology) from the University of Washington (USA) in 1979. After two years, he obtained a MSc degree (with Distinction) in Information Systems from theLondon School of Economics(UK). He obtained a PhD degree in Accounting and Finance from theUniversity of Bradford(UK) in 1988.[4]He holds a Certificate in Higher Education Management and Leadership from the University of California, Berkeley (USA). He was a Commonwealth Scholar and is a certified public accountant in the UK, Australia and Canada.[5]",-1
"TheSwedish Women's Curling Championship(Swedish:Svenska mästerskap i curling för damer, SM lag damer) is the national championship of women'scurlinginSweden. It has been held annually since 1962.[1][2] (below teams line-up in order: fourth, third, second, lead, alternate, coach;skipsmarkedbold)",2
"Home Groupis aHousing Associationin theUnited Kingdom. They trace their origins to the North Eastern Housing Association founded in 1935. The organisation houses over 120,000 people in 55,000 homes across England, Scotland and Wales.[1]",-1
"Plum TVwas an Americanbroadcasttelevision networktargeted mostly to affluent viewers in the country. The majority of the programming was locally produced largely in affluent vacation communities, marketed towards the mass affluent.[2]",-1
"The1970 Connecticut Huskies football teamrepresented theUniversity of Connecticutin the1970 NCAA College Division football season. The Huskies were led by fifth-year head coachJohn Toner, and completed the season with a record of 4–4–1.[1]",-1
"Poa supinais a species offlowering plantbelonging to the familyPoaceae.[1] Its native range is Morocco, Europe to Mongolia andHimalaya.[1]",0
"Pinocchiois a two-episode Italian-Britishminiseriesdirected by Alberto Sironi, based on the 1883 novelThe Adventures of PinocchiobyCarlo Collodiand filmed in English. It first aired on the Italian channelRai 1on November 1 and 2, 2008. The cast includesRobbie KayasPinocchio,Bob HoskinsasGeppetto,Luciana Littizzettoas a femaleTalking CricketandAlessandro Gassmanas Carlo Collodi. It was shot inLazioandTuscany, Italy.",-1
"Route 390, also known asSpringdale Road, is a highway in the central portion ofNewfoundlandin theCanadian provinceofNewfoundland and Labrador.[1]It is a very short route, running for only 11.0 kilometres (6.8 mi), with its only community,Springdale, as its terminus.  Its branch routes,Route 391(Harry's Harbour Road) andRoute 392(Beachside Road), run for a much longer distance. Route 390 begins in a rural area at an intersection withRoute 1(Trans-Canada Highway) and it heads northeast to crossIndian Brookand have an intersection withRoute 391(Harry's Harbour Road).Springdale Airportcan be accessed from the highways southern terminus by traveling 1 kilometre east on Route 1. The highway heads northeast through wooded areas for a few kilometres, paralleling the Indian Brook, to enter theSpringdaletown limits and have an intersection withRoute 392(Beachside Road). Route 390 passes through some business districts and neighbourhoods, where it passes byGeorge Huxter Memorial Park, before entering downtown and coming to an end at a Y-Intersection with Main Street in downtown.",-1
"Black Girls Code(BGC) is a nonprofit organization that focuses on engagingAfrican-Americangirls and other youth of color with computer programming education to nurture their careers in tech. The organization offers computer programming and coding, as well as website, robot, and mobile application-building, with the goal of placing one million girls in tech by 2040.Kimberly Bryant, anelectrical engineerwho had worked inbiotechfor over 20 years, founded Black Girls Code in 2011 to rectify the underrepresentation of African-American girls and women in tech careers.[1][2]In October 2023, Cristina Jones became CEO; she was previously an executive atSalesforce.",-1
"California, Here I Comeis a song interpolated in theBroadwaymusicalBombo, starringAl Jolson.  The song was written byBud DeSylva,Joseph Meyer, and Jolson.[1]Jolson recorded the song on January 17, 1924, with Isham Jones' Orchestra, in Brunswick Records' Chicago studio.[2]It is often called the unofficial state song ofCalifornia.  In 2020, it entered thepublic domain.",-1
"Tomas Nordin(born 9 October 1969) is aSwedishcurlerand world champion. Born inHärnösand, Sweden, Nordin won a gold medal in the 1997, 2001 and 2004World Curling Championships, all three times with skipPeja Lindholm, and received silver medal in 1998 and 2000.[1] He isEuropean championfrom 1998 and 2001 (with skip Peja Lindholm), and has received a total of seven medals in the European championships. In 1998 he was inducted into theSwedish Curling Hall of Fame.",2
"Robert James Grayis anIrishAnglicanpriest: he is the currentArchdeacon of Ferns, Cashel, Waterford and Lismore.[1] Bob Gray was born in 1970, educated atTrinity College, Dublinandordainedin 1996.[2]After acuracyatClooneywithStrathfoylehe has been based  atArdaminesince 1999.[3]In 2004 he becameTreasurerofFerns Cathedral.",-1
Goriais a surname. Notable people with the surname include:,-1
"Queenis the fourth studio album by Trinidadian rapperNicki Minaj. It was released on August 10, 2018 byYoung Money Entertainment,Cash Money RecordsandRepublic Records. Recording sessions with a handful of producers for the album began in late 2016 and concluded in August 2018. The album includes guest appearances by rappersEminem,Foxy Brown,Future,Swae Lee, andLil Wayne; along with singersAriana Grande,Labrinth, andthe Weeknd. Queen's release date was pushed back twice before ultimately being released a week ahead of schedule. The album was supported by four singles:  Chun-Li, Bed featuring Ariana Grande, Barbie Dreams and a remix of Good Form featuring Lil Wayne. Fefe with6ix9ineandMurda Beatzwas added to streaming editions of the album in the week following its release; both Chun-Li and Fefe peaked within the top ten of the USBillboardHot 100. To promote the album, Minaj launched her live radio program,Queen Radio(which aired onBeats 1), and eventually embarked onThe Nicki Wrld TourwithJuice Wrldin February 2019. Queenreceived generally positive reviews from music critics upon its release, who complimented the album's production but criticized its length and lack of direction. The album debuted at number two on the USBillboard200with 185,000album-equivalent units, of which 78,000 came from pure album sales. It charted within the top ten in other countries, including Australia, Canada, Netherlands, Ireland, New Zealand, Norway, Switzerland, and the United Kingdom. The album was certified platinum by theRecording Industry Association of America(RIAA) in January 2019.",-1
"Hans Koning(bornHans Königsberger, July 12, 1921 – April 13, 2007) was a Dutch American author of over 40 fiction and non-fiction books. Koning was also a prolific journalist, contributing for almost 60 years to many periodicals includingThe New York Times,International Herald Tribune,Atlantic Monthly,The Nation,Harper's,The New Yorker, andDe Groene Amsterdammer. He used the pen name Hans Koningsberger (with an added letter 'n'), and from 1972 Hans Koning.[1]",-1
"Qmillion(bornKeith Lewis, in the US),[citation needed]is an American record producer,mix engineer, composer, and songwriter based inLos Angeles,California, United States. Qmillion's achievement for recording andmixingrecording artistRobert Glasper's critically acclaimedBlack Radioalbum, gained him aGrammy Award for Best R&B Albumat the55th Grammy Awardsin 2013.[1]and most recently nominated forGrammy Award for Best Engineered Album, Non-Classical[2]forBlack Radio IIIbyRobert Glasperon the 2023 Grammys.",-1
"Aministry of womenorwomen's affairsexists in several countries under various names, often headed by aminister for women(or equivalent):",-1
"Giancarlo Pasinato(born 20 September 1956 inCittadella) is an Italian professionalfootballcoach and a former player, who played as amidfielder.",2
"Kill No Albatross(formerlyGatling) was aCanadianband formed by Alexander Sallas and Alex Crosty in November 2007 inBurlington, Ontario. Their music is associated withprogressive metalandalternative rock, though there areambient,post-hardcore, andjazzinfluences as well. The band is noted for having two songs in theRock Bandvideo game series: Nihilanth[1][2][3]and Absolute,[4][5][6]the former being one of the hardest guitar songs in the game with a section topping 25 notes per second. Their song The Disguise was featured regularly onCFRB'sThe Richard Syrett Showbefore the show was discontinued.[7][8]Their debut full-length album,Beforemath, was released independently, despite record label interest, in April 2012.[9][10][11][12]",-1
"Sir David Mark Rylance Waters(/raɪləns/; born 18 January 1960) is an English actor, playwright and theatre director. He is known for his roles on stage and screen, havingreceived numerous awardsincluding anAcademy Award, threeBAFTA Awards, twoOlivier Awardsand threeTony Awards. In 2016 he was included in theTime100list of the world's most influential people.[2]In 2017 he was made aknightbyQueen Elizabeth II. He was the first artistic director ofShakespeare's Globein London, between 1995 and 2005. After training at theRoyal Academy of Dramatic Artin London, he made his professional debut at theCitizens Theatrein Glasgow in 1980. He appeared in theWest Endproductions ofMuch Ado About Nothingin 1994 andJerusalemin 2010, winning theOlivier Award for Best Actorfor both. He has also appeared onBroadway, winning threeTony Awards: two for Best Actor forBoeing Boeingin 2008 andJerusalemin 2011, and one for Best Featured Actor forTwelfth Nightin 2014. He was Tony-nominated for his roles inRichard IIIin 2014 andFarinelli and the Kingin 2017. Rylance's early roles includeProspero's Books(1991),Angels & Insects(1995),Institute Benjamenta(1996),Intimacy(2001) andThe Other Boleyn Girl(2008). He won theAcademy AwardandBAFTAfor Best Supporting Actor for his portrayal ofRudolf AbelinSteven Spielberg'sBridge of Spies(2015). He subsequently collaborated with Spielberg acting inThe BFG(2016) andReady Player One(2018). He also appeared in films such asDunkirk(2017),The Trial of the Chicago 7(2020),Don't Look Up(2021),Bones and All(2022) andThe Outfit(2022). On television, Rylance won theBritish Academy Television Award for Best Actorfor his role asDavid Kellyin the 2005Channel 4dramaThe Government Inspectorand for playingThomas Cromwellin the 2015BBC Twomini-seriesWolf Hall; for the latter role, he also receivedEmmy AwardandGolden Globe Awardnominations. Rylance is a patron of theLondon International Festival of Theatre; of the London-based charityPeace Direct, which supports peace-builders in areas of conflict; and of theStop the War Coalition.",-1
"Things and Other Thingsis a 2025 Italian-Englishdramafilm written and directed by Riccardo Vannunccini, it is the sequel film to 2023Commedia. The film stars the recurring character Irene, played byGreta Bellamacinain both films alongside Vannunncini who plays the character Rocco.[1]The two characters live in a post-industrial environment that has been destroyed by the industrialization of the twentieth century. 'Things and Other Thingswas filmed on location in Tuscany in the Italian countryside mostly in abandoned buildings.[2][3][4][5]",-1
"Kennecott Land, a subsidiary ofRio Tinto Group, is an American land development company formed in 2001 and based inSouth Jordan, Utahin theUnited States. Kennecott Land owns 93,000 acres (380 km²) of undeveloped land inSalt LakeandTooelecounties in Utah, 75,000 acres (300 km²) of which are located in Salt Lake County. The company was formed by Rio Tinto in order to utilize land formerly owned by mining companies likeKennecott Utah Copper.[1]The first major development, theDaybreak Community, has begun construction in the western half of the city ofSouth Jordan.[2]",-1
"TheMeteorological Service of Catalonia(SMC,Servei Meteorològic de CatalunyainCatalan, also known asMeteocat) is a public company ascribed to the Ministry of Climate Action, Food and Rural Agenda of theGovernment of Catalonia(Spain). It is the organisation responsible for the observation system and meteorological forecast in Catalonia.[1]It is an associate member of theEuropean Meteorological Society(EMS).[2]",-1
Keating(Irish spelling:Céitinn) is an Irish and English family name.,-1
"Louis Serrewas a 16th-centuryMarseillebased French physician. Along withColin Pellenc, in 1540 he was accused of heresy.[1]In 1545 he worked withNostradamusin fighting a major plague outbreak in Marseille.",-1
"Hyalinobatrachium pallidum(common name:Guacharaquita glass frog, inSpanishranita de cristal pálida[1]) is a species offrogin the familyCentrolenidae. It isendemictoVenezuela. It is known from itstype locality, Guacharaquita betweenLa Gritaand Páramo de La Negra in theTáchirastate, and from a number of sites in theSierra de Perijá,Zuliastate. Its altitudinal range is 1,132–1,832 m (3,714–6,010 ft)asl.[2][3]There is also an unconfirmed record from San Isidro in theBarinasstate.[3] Males measure 21.2–25.0 mm (0.83–0.98 in) and females 23.0–24.8 mm (0.91–0.98 in) in snout–vent length. Thepericardiumis light golden. Many individuals from the Sierra de Perijá have a number of irregular black flecks on the dorsum, head, and dorsal surfaces of the limbs.[3] In the Sierra de Perijá,Hyalinobatrachium pallidumwas abundant and reproductively active at two localities with small fast-flowing creeks surrounded by primary cloud forest and abundant stream-side vegetation. It was scarce at a third locality, a small creek in secondary forest with shaded coffee plantations.[3] The Guacharaquita population was considered almost extirpated byhabitat lossin the assessment by theInternational Union for Conservation of Nature(IUCN) in 2004.[1]However, Rojas-Runjaic and colleagues suggest that the conservation status of this species should be reassessed in light of broader distribution than was known at the time of the assessment.[3]",0
TheThermoactinomycetaceaeare afamilyofGram-positiveendospore-formingbacteria. The currently accepted taxonomy is based on theList of Prokaryotic names with Standing in Nomenclature(LPSN)[1]andNational Center for Biotechnology Information(NCBI).[2],0
"Fun in a Chinese Laundryis an autobiography by Austrian-American filmmakerJosef von Sternbergfirst published in 1965 byMacmillan Publishers. The book was reissued in 1988 byMercury Housewith a foreword byGary Cooper.[1] Von Sternberg provides details from his childhood in Vienna and youth in America, as well every stage of his film career. The memoir provides numerous character sketches and critiques of film personnel, especially the actors he worked with, among themMarlene Dietrich.[2][3] The eponymous title of the autobiography is a reference to a 1894Kinetoscopefilm by American inventor and film pioneerThomas Edison[4][5]",-1
"TheGreek Byzantine Catholic Church(Greek:Ελληνόρρυθμη Καθολική Εκκλησία,Ellinórrythmi Katholikí Ekklisía) or theGreek-Catholic Church of Greeceis asui iurisEastern Catholicparticular churchof theCatholic Churchthat uses theByzantine RiteinKoine GreekandModern Greek. Its membership includes inhabitants ofGreeceandTurkey, with some links withItalyandCorsica.",-1
"Joseph William (Willie) ComeauPC(March 12, 1876 – January 11, 1966) was a Canadian educator and political figure inNova Scotia, Canada. He represented Digby County in theNova Scotia House of Assemblyfrom 1907 to 1925 and from 1928 to 1948 as aLiberalmember. Comeau sat for Clare division in theSenate of Canadafrom 1948 to 1966.",-1
"Annie Berenice Crumb Wyer(October 5, 1873 – January 29, 1960) was an American pianist, composer, and lecturer.[1]Wyer composed for both piano and organ, and wroteart songand works for violin. She collaborated with Ethan Allen Taussig in performances of spoken recitation accompanied by the piano.",-1
"Frédéric François Groen, heer van Waarder (1814–1882)[1]was a Dutch shipyard operator inAmsterdam. The shipyard was called FF Groen Scheepsbouwwerft de boot and was located at 111 Gr Wittenburgerstraat. Groen's son, Herman Frederik (1846-1904), built at least twofull-riggedsailing ships, the Vondel (1894) andNicolaas Witsen(1897), but neither was sold. So he operated the ships himself. In 1897 he retired, HF Groen was not married and had no children and died on 1-10-1904. His great collection of paintings and prints concerning ships were sold in 1905 as well as both ships were sold to the Hamburgshipping companyEugen Cellier. FF Groen and his family have a grave monument inMuiderberg.[1]",-1
"On the Racksis a hits compilation album byBelgianelectronicbandLords of Acid. It contains tracks originally appearing on the band's four studio albumsLust,Voodoo-U,Our Little SecretandFarstuckerbut the songs are censored for the general public.[1]Also included is the song The Real Thing, which appeared on the soundtrack to the filmStrange Days. According to the Lords of Acid official website, this album was released in 2001 byNever Records,[2]although according toAllmusic,On the Rackswas issued in 2003 bySanctuary Records,[3]indicating that the album received delayed releases in different territories. Two additional Lords of Acid hits compilations would follow this — one for Europe (Private Parts) and one for the U.S. (Greatest T*ts)",-1
Ireneusz Kiejda(born 30 January 1964) is a Polishjudoka. He competed in themen's extra-lightweight eventat the1988 Summer Olympics.[1],2
"This is a list of those clergymen who have served asPrelate of theOrder of St Michael and St George, the British order of chivalry associated with foreign and Commonwealth service.",-1
"USSAlbuquerque(SSN-706)was aLos Angeles-classattack submarineof theUnited States Navy. She was the second U.S. warship to be named forAlbuquerque, New Mexico. The contract to build her was awarded to theElectric BoatDivision ofGeneral DynamicsCorporation inGroton, Connecticut, on 31 October 1973 and her keel was laid down on 27 December 1979. She waslaunchedon 13 March 1982, sponsored by Nancy L. Domenici, andcommissionedon 21 May 1983.[1][2]",-1
"Thomas Joseph Gibbons(March 22, 1891 – November 19, 1960) was an American professional heavyweight boxer.",-1
The2020–21 seasonisAquila Basket Trento's 26th in existence and the club's8th consecutive seasonin the top tier Italian basketball.,-1
"Acommand duty officer(CDO, on anaval ship) orofficer of the watch(OOW, on amerchant ship) is the headduty officer (officer of the day)on a ship, entrusted by thecommanding officerandexecutive officer(on anaval ship) or theshipmaster(on amerchant ship) with exercising in their absencecommand and controlof the ship on their behalf for the duration of awatch.[1]",-1
"Andrew Philip Oliveris an American music producer, filmmaker, and entrepreneur. He was in the band Brother Oliver, the movieHow To Break A World Record, and is CEO of Forthright Records. Oliver is a serial entrepreneur, founding several businesses and products including WAVS Custom and Dummiez.[1]",-1
Margot Vella(born 11 April 1999) is an Australiandual-code rugbyfootballer who plays as awingerorcentre. She playsrugby leaguefor theSt George Illawarra Dragonsin theNRL Women's Premiership(NRLW) andrugby unionfor theNSW Waratahsin theSuper W.,-1
"Bassam Jamousis aSyrianarchaeologistand general director of theDirectorate-General of Antiquities and Museums(DGAM) inDamascus,Syria. He has held this position since 2005.[1]",-1
Bachelor Fatheris a BritishsitcomstarringIan Carmichaelthat aired for two series from 1970 to 1971. It was written byRichard Waring.,-1
Quiacaua abactais a species ofbeetlein the familyCerambycidae. It was described by Martins in 1981.[1],0
I'm Here!is an album by the American musicianClifton Chenier.[1][2]It was released in 1982 viaAlligator Records.[3]Alligator licensed the album in the hope that label headBruce Iglauercould produce the follow-up.[4]Chenier is credited with His Red Hot Louisiana Band.[5]I'm Here!won aGrammy Awardfor Best Ethnic or Traditional Folk Recording.[6]It was the label's first Grammy win.[7]The album was reissued in 1993.[8],-1
"Sympistis dinaldais amothof the familyNoctuidaefirst describedby Smith in 1908.[1]It is found in the boreal and subboreal parts ofCanada. It was formerly known asHomohadena infixa dinalda, a subspecies ofHomohadena infixabut was elevated to species level and transferred to the genusSympistisin 2008. Thewingspanis 30–35 mm.[2]",0
"TheFIS Cross-Country World Cup Finalsis across-country skiingevent held annually since the2007–08 seasonin various places inEuropeorCanada. The World Cup Finals is a Stage World Cup event in theFIS Cross-Country World Cup, and is held as the last World Cup race weekend of the season. The inaugural World Cup Finals was held in 2008 inBormio, Italy. As of the2018–19 season, the World Cup Finals consists of three stages; a sprint, a mass start race and apursuit. The first stages was arranged on 14 March 2008 and were won byClaudia Künzel[1](ladies) andPietro Piller Cottrer[2](men). The first overall winners of the World Cup Finals wereVirpi KuitunenandVincent Vittoz.",2
"Texas Piano Manis the fifthstudio albumby American singer-songwriterRobert Ellis. It was released on February 14, 2019, byNew West Records.",-1
Xenochironomusis a genus of nonbiting midges in the familyChironomidae. There are about 16 described species inXenochironomus.[1][2][3] These 16 species belong to the genusXenochironomus:,0
"ThisList of truck typesis intended to classifytrucksand to provide links to articles on the various types. The three main classifications forroad truckby weight arelight trucks,medium trucks, andheavy trucks. Above this there are specialisedvery heavy trucks and transporterssuch asheavy haulersfor moving oversized loads, andoff-roadheavy haul trucksused inminingwhich are too large for highway use without escorts and special permits.",-1
"Árvore(Tree) was a Portugueseliterary magazine, published inLisbonbetween 1951 and 1953, in a total of four issues.[1][2] An independent publication with a specialization in poetry,Árvorewas mainly focused on discussion and criticism, as well as on the dissemination of the poetry of young poets, critical reviews of poetic works, and essays in defense of Poetry.[2] This magazine was directed and edited byAntónio Luís Moita,António Ramos Rosa,José Terra,Luís AmaroandRaul de Carvalho. Artistic collaborators includedCipriano Dourado,Lima de FreitasandFernando Lanhas. The magazine counted among its collaborators such writers as: [2]",-1
"The Book That Wouldn't Burnis a 2023high fantasynovel by American-British authorMark Lawrence. It is the first book inThe Library Trilogy, followed byThe Book That Broke the Worldin April 2024 andThe Book That Held Her Heartin April 2025. Lawrence is also the author of theBroken Empire trilogy. The book follows the story of Livira, a young and brilliant orphan from the Dust, and Evar, one of five children who were separated from their time and raised together in an immense and inescapable library.",-1
"The2023 EFL Cup finalwas the final of the2022–23 EFL Cup. It was played betweenManchester UnitedandNewcastle UnitedatWembley StadiuminLondonon 26 February 2023.[4]This was Newcastle's first final since the1999 FA Cup final, in which Manchester United defeated them 2–0. Newcastle were aiming to end one of the longest trophy droughts in English football,[5]with their last major honour being the1968–69 Inter-Cities Fairs Cup.[6]However, the scoreline from 1999 was repeated, as Manchester United won their first competitive trophy since2017.[7]Defeat meant Newcastle had lost five cup finals in a row, and their winless run at Wembley extended to 11 games, stretching back to their last win in 1955. It also meant they still had not scored in a cup final since the1976 Football League Cup Final. This proved to be the last game of these runs, with Newcastle returning to win the2024-25 EFL Cup.[8] Both clubs were allocated 867 tickets insafe standingareas of Wembley, making this the first major domestic English men's final in nearly 35 years to allow supporters to stand.[9]On the morning of the final, theMet Policeestimated at least 100,000 Newcastle United fans, with and without tickets, were in and around Wembley.[10]",10
"Ball at the Metropol(German:Ball im Metropol) is a 1937 Germandrama filmdirected byFrank Wisbarand starringHeinrich George,Heinz von CleveandHilde Weissner.[1][2]The film's sets were designed by theart directorsFritz Maurischatand Anton Weber. It was based on the 1888 novelIrrungen, WirrungenbyTheodor Fontane.[3]It premiered at theGloria-PalastinBerlin.",-1
"Vittorio Santoianniis professor of Decoration atAccademia di Belle Arti di Firenze.[1]He participated atBiennale di Venezia.[2]Since the mid-1990s he has worked mainly in the field of historical research and criticism, where he has numerous publications on twentieth-century and contemporary architects and artists. He has curated various exhibitions.[citation needed]",-1
"Cyocyphax praonetoidesis a species ofbeetlein the familyCerambycidae, and the only species in the genusCyocyphax. It was described by Thomson in 1878.[1]",0
"Elections toOxfordCity Council were held on 7 May 1998.  One third of the council seats were up for election. TheLabourparty kept its overall majority on the council. The number of Councillors for each party after the election wereLabour33,Liberal Democrat14 andGreen4.[1]",-1
"Domingos Mãhörõ(1960 – 6 July 2020) was a chief (cacique) of theXavanteethnic group of the Sangradouro indigenous land, in the region ofGeneral Carneiro, 449 km fromCuiabá,Mato Grosso. He was president of the indigenous cooperative of the state and was an active leader in the causes of the indigenous people; he was coordinator of Indigenous Health and in charge of the Indigenous Cooperative (Cooperativa Indígena).[1] Mahoro was a victim ofCOVID-19during thepandemic in Brazil. Suffering fromdiabetesandhypertension, he died inCuiabá,Mato Grosso, after being transferred from the interior of the state. His COVID-19 diagnosis was confirmed on June 25, and he was admitted to a private health unit in the city ofPrimavera do Leste. As his clinical condition worsened, he was requested to be transferred to an Intensive Care Unit (ICU) at Hospital Estadual Santa Casa, in Cuiabá. He only arrived on 6 July, despite an injunction with the Public Defender's Office being issued three days earlier. After being transferred to the ICU, Domingos Mãhörõ suffered twocardiac arrestsand died on the same day, aged 60.[2][3]",-1
Queen's University of Belfastwas auniversity constituencyrepresented in theHouse of Commonsof theUnited Kingdom Parliamentfrom1918until1950. It returned oneMember of Parliament(MP) elected by thefirst-past-the-postvoting system.,3
"Typhlosyrinx vepallidais aspeciesofsea snail, a marinegastropodmolluskin thefamilyRaphitomidae.[1]",0
"Frederik Karel Theodoor van Iterson(12 March 1877 – 11 December 1957) was a Dutch mechanical engineering professor, who largely developed the typical design ofpower stationnatural draughtcooling tower, being built from 1918.",-1
Aleksander-Voldemar Pulk(29 September 1886 – 20 August 1941) was anEstonianmilitary personnel (Major-General).[1] 1919-1934 he was the commanding officer of 1st Infantry Regiment. 1934-1936 he was the commanding officer of Pärnu-Viljandi Military District. 1936-1940 he was the commander of1st Division.[1] Awards:,4
